
2025/01/15 (03:16:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/15 (03:16:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/15 (03:16:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/15 (03:16:24) | DEBUG: Shared::init() : Initialized.

2025/01/15 (04:05:01) | ===> btop++ v.1.4.0
2025/01/15 (04:05:01) | INFO: Logger set to DEBUG
2025/01/15 (04:05:01) | DEBUG: Using locale en_US.UTF-8
2025/01/15 (04:05:01) | INFO: Running on /dev/pts/4
2025/01/15 (04:05:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/15 (04:05:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/15 (04:05:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/15 (04:05:01) | DEBUG: Shared::init() : Initialized.
2025/01/15 (04:05:22) | INFO: Quitting! Runtime: 00:00:21

2025/01/16 (13:57:48) | ===> btop++ v.1.4.0
2025/01/16 (13:57:48) | INFO: Logger set to DEBUG
2025/01/16 (13:57:48) | DEBUG: Using locale en_US.UTF-8
2025/01/16 (13:57:48) | INFO: Running on /dev/pts/0
2025/01/16 (13:57:48) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/16 (13:57:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/16 (13:57:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/16 (13:57:48) | DEBUG: Shared::init() : Initialized.

2025/01/16 (15:33:31) | ===> btop++ v.1.4.0
2025/01/16 (15:33:31) | INFO: Logger set to DEBUG
2025/01/16 (15:33:31) | DEBUG: Using locale en_US.UTF-8
2025/01/16 (15:33:31) | INFO: Running on /dev/pts/0
2025/01/16 (15:33:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/16 (15:33:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/16 (15:33:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/16 (15:33:31) | DEBUG: Shared::init() : Initialized.

2025/01/17 (13:36:55) | ===> btop++ v.1.4.0
2025/01/17 (13:36:55) | INFO: Logger set to DEBUG
2025/01/17 (13:36:55) | DEBUG: Using locale en_US.UTF-8
2025/01/17 (13:36:55) | INFO: Running on /dev/pts/0
2025/01/17 (13:36:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/17 (13:36:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/17 (13:36:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/17 (13:36:55) | DEBUG: Shared::init() : Initialized.

2025/01/20 (19:22:18) | ===> btop++ v.1.4.0
2025/01/20 (19:22:18) | INFO: Logger set to DEBUG
2025/01/20 (19:22:18) | DEBUG: Using locale en_US.UTF-8
2025/01/20 (19:22:18) | INFO: Running on /dev/pts/0
2025/01/20 (19:22:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
